   n, quick_cmp, quick_swaps, quick_time
 912,     15421,        2758,       8506
 913,     15364,        2744,       8507
 914,     15944,        2708,       8507
 915,     15195,        2752,       8506
 916,     15724,        2756,       8506
 917,     15765,        2792,       8507
 918,     14701,        2805,       8506
 919,     15014,        2823,       8506
 920,     15641,        2794,       8006
 921,     15623,        2802,       8507
 922,     14848,        2816,       8006
 923,     15602,        2801,       8507
 924,     16368,        2757,       8507
 925,     16565,        2771,       9006
 926,     15851,        2798,       9007
 927,     15521,        2774,       9007
 928,     15899,        2781,       8508
 929,     15357,        2857,       8507
 930,     15350,        2838,       8507
 931,     15469,        2875,       8006
 932,     16189,        2801,       9007
 933,     15458,        2862,       9008
 934,     15426,        2853,       8506
 935,     15988,        2853,       9007
 936,     15577,        2828,       8507
 937,     15904,        2855,       8507
 938,     15832,        2862,       8507
 939,     15248,        2882,       8507
 940,     15815,        2831,       8507
 941,     15884,        2832,       9006
 942,     16497,        2813,       9007
 943,     16539,        2815,       9007
 944,     15632,        2872,       8507
 945,     16799,        2842,       9508
 946,     15818,        2878,       9007
 947,     16045,        2870,       8506
 948,     16008,        2888,       9007
 949,     15852,        2901,       8507
 950,     15974,        2912,       9007
 951,     16143,        2867,       8506
 952,     16954,        2841,       9007
 953,     16455,        2841,       9007
 954,     17052,        2879,       9508
 955,     15752,        2928,       9007
 956,     16136,        2904,       9008
 957,     15996,        2914,       9007
 958,     15833,        2931,       9007
 959,     16059,        2940,       8507
 960,     16465,        2914,       9007
 961,     16417,        2919,       8507
 962,     15963,        2932,       8507
 963,     15935,        2946,       8507
 964,     16477,        2922,       9007
 965,     15764,        2976,       8507
 966,     16075,        2936,       9007
 967,     16644,        2917,       9007
 968,     16351,        2960,       9007
 969,     16170,        2966,       8507
 970,     16154,        2968,       9007
 971,     15987,        3001,       8507
 972,     17082,        2925,       9507
 973,     17231,        2938,       9507
 974,     16738,        2978,       9007
 975,     17093,        2939,       9007
 976,     16291,        2991,       9007
 977,     16871,        3007,       9507
 978,     16748,        2996,       9508
 979,     16412,        3007,       9008
 980,     16849,        3006,       9507
 981,     16530,        3008,       9008
 982,     16772,        3030,       9007
 983,     17018,        3039,       9508
 984,     17084,        2971,       9508
 985,     16203,        3031,       9007
 986,     16571,        3026,       9007
 987,     17280,        3009,       9508
 988,     16402,        3036,       9008
 989,     16639,        3008,       9008
 990,     17196,        3013,       9508
 991,     16566,        3005,       9007
 992,     17592,        3047,      10008
 993,     17488,        2986,       9508
 994,     17013,        3042,       9008
 995,     16863,        2999,       9507
 996,     16613,        3015,       9007
 997,     16464,        3050,       9007
 998,     17143,        3027,       9508
 999,     17174,        3036,      10008
1000,     17229,        3031,       9508
