   n, heap_cmp, heap_swaps, heap_time
 147,     1716,        997,      1000
 148,     1736,       1008,      1000
 149,     1752,       1015,      1000
 150,     1767,       1027,      1001
 151,     1784,       1033,      1501
 152,     1799,       1048,      1000
 153,     1816,       1051,      1501
 154,     1831,       1062,      1000
 155,     1848,       1073,      1500
 156,     1860,       1081,      1501
 157,     1880,       1087,      1000
 158,     1895,       1098,      1501
 159,     1906,       1105,      1001
 160,     1924,       1109,      1002
 161,     1941,       1120,      1500
 162,     1955,       1128,      1000
 163,     1971,       1139,      1001
 164,     1984,       1146,      1000
 165,     1999,       1155,      1001
 166,     2014,       1164,      1501
 167,     2031,       1171,      1500
 168,     2049,       1182,      1000
 169,     2066,       1191,      1000
 170,     2080,       1206,      1501
 171,     2094,       1211,      1501
 172,     2107,       1220,      1501
 173,     2125,       1230,      1001
 174,     2142,       1239,      1000
 175,     2158,       1245,      1501
 176,     2176,       1259,      1501
 177,     2191,       1262,      1501
 178,     2207,       1274,      1501
 179,     2220,       1277,      1501
 180,     2230,       1287,      1500
 181,     2254,       1298,      1502
 182,     2268,       1312,      1500
 183,     2280,       1316,      1501
 184,     2297,       1326,      1501
 185,     2313,       1334,      1501
 186,     2326,       1343,      1501
 187,     2351,       1357,      1500
 188,     2358,       1356,      1501
 189,     2375,       1362,      2001
 190,     2396,       1383,      1501
 191,     2411,       1387,      1500
 192,     2429,       1397,      1501
 193,     2446,       1403,      1500
 194,     2459,       1411,      1502
 195,     2470,       1415,      1500
 196,     2483,       1418,      1501
 197,     2498,       1425,      1501
 198,     2515,       1443,      1502
 199,     2535,       1449,      1500
 200,     2552,       1462,      1501
 201,     2568,       1471,      1501
 202,     2581,       1482,      2001
 203,     2599,       1488,      2002
 204,     2613,       1496,      1500
 205,     2629,       1504,      2002
 206,     2644,       1512,      1500
 207,     2665,       1527,      1501
 208,     2674,       1533,      2002
 209,     2691,       1537,      1501
 210,     2708,       1548,      2001
 211,     2727,       1562,      2001
 212,     2743,       1572,      1501
 213,     2758,       1577,      2002
 214,     2771,       1582,      2001
 215,     2789,       1596,      1501
 216,     2805,       1602,      1501
 217,     2820,       1608,      2001
 218,     2833,       1615,      2002
 219,     2845,       1626,      2001
 220,     2862,       1633,      2001
