     n, quick_cmp, quick_swaps, quick_time
   148,      1775,         355,       1000
   149,      1758,         370,       1000
   150,      1751,         362,       1000
   151,      1776,         370,       1001
   152,      1838,         364,       1000
   153,      1790,         393,       1000
   154,      1803,         382,       1000
   155,      1812,         368,       1000
   156,      1796,         382,       1000
   157,      1891,         372,       1001
   158,      1956,         386,       1500
   159,      1911,         394,       1000
   160,      1926,         392,       1001
   161,      1917,         400,       1000
   162,      1991,         400,       1501
   163,      2008,         406,       1000
   164,      1993,         404,       1000
   165,      2044,         425,       1501
   166,      2017,         427,       1001
   167,      2017,         425,       1000
   168,      2101,         420,       1501
   169,      2201,         423,       1000
   170,      2193,         418,       1501
   171,      2233,         433,       1001
   172,      2057,         432,       1500
   173,      2079,         432,       1000
   174,      2159,         430,       1501
   175,      2083,         435,       1000
   176,      2117,         440,       1000
   177,      2148,         440,       1000
   178,      2250,         444,       1501
   179,      2193,         445,       1001
   180,      2220,         431,       1501
   181,      2257,         465,       1001
   182,      2256,         470,       1501
   183,      2263,         463,       1000
   184,      2314,         460,       1000
   185,      2241,         459,       1501
   186,      2251,         472,       1000
   187,      2370,         467,       1000
   188,      2483,         474,       1501
   189,      2349,         481,       1501
   190,      2452,         468,       1000
   191,      2470,         484,       1000
   192,      2356,         483,       1501
   193,      2360,         492,       1500
   194,      2401,         476,       1001
   195,      2458,         492,       1000
   196,      2438,         498,       1501
   197,      2546,         513,       1501
   198,      2525,         494,       1501
   199,      2736,         499,       1501
   200,      2749,         502,       1501
   201,      2679,         507,       1501
   202,      2500,         509,       1501
   203,      2579,         502,       1501
   204,      2554,         518,       1501
   205,      2696,         506,       1502
   206,      2739,         521,       1500
   207,      2708,         519,       1501
   208,      2565,         523,       1501
   209,      2681,         533,       1501
   210,      2660,         533,       1501
   211,      2729,         532,       1501
   212,      2721,         529,       1501
   213,      2779,         548,       1501
   214,      2761,         560,       1501
   215,      2760,         559,       1501
   216,      2721,         561,       1500
   217,      2784,         549,       1501
   218,      3017,         561,       1501
   219,      2715,         565,       1500
   220,      2769,         566,       1501
   221,      3028,         570,       1501
   222,      2822,         576,       1501
   223,      2816,         588,       2001
   224,      2918,         576,       1501
   225,      2918,         580,       1500
   226,      2867,         599,       1501
   227,      2950,         579,       1500
   228,      3002,         585,       1501
   229,      2973,         599,       2001
   230,      2829,         599,       1501
   231,      2874,         596,       1501
   232,      3064,         608,       2001
   233,      2997,         614,       1501
   234,      3076,         607,       1501
   235,      3013,         614,       1500
   236,      2942,         605,       1501
   237,      3014,         620,       2001
   238,      3231,         621,       1501
   239,      3209,         626,       2001
   240,      3137,         638,       2002
   241,      3168,         645,       1501
   242,      3163,         613,       2001
   243,      3167,         635,       1501
   244,      3200,         627,       1501
   245,      3176,         646,       2001
   246,      3067,         654,       1501
   247,      3375,         645,       2001
   248,      3191,         639,       2001
   249,      3320,         642,       1501
   250,      3508,         646,       2001
   251,      3343,         674,       2002
   252,      3384,         673,       2001
   253,      3479,         652,       1501
   254,      3374,         693,       1502
   255,      3391,         689,       2001
   256,      3484,         685,       2002
   257,      3485,         661,       2001
   258,      3471,         679,       2002
   259,      3500,         687,       1501
   260,      3497,         682,       1500
   261,      3451,         696,       1501
   262,      3600,         671,       1501
   263,      3474,         691,       1501
   264,      3445,         697,       1501
   265,      3583,         691,       1501
   266,      3772,         708,       2002
   267,      3579,         704,       2001
   268,      3709,         705,       2001
   269,      3602,         715,       2001
   270,      3610,         703,       2001
   271,      3660,         728,       2001
   272,      3673,         731,       2002
   273,      3745,         729,       2001
   274,      3717,         729,       2001
   275,      3636,         737,       2001
   276,      3757,         752,       2001
   277,      3770,         744,       2002
   278,      3706,         737,       2001
   279,      3760,         735,       2002
   280,      3888,         733,       2001
   281,      3816,         753,       2001
   282,      3669,         773,       2001
   283,      3988,         758,       2002
   284,      3785,         758,       2001
   285,      3864,         755,       2002
   286,      3809,         780,       2001
   287,      3877,         771,       2001
   288,      3974,         769,       2001
   289,      3932,         776,       2001
   290,      4026,         748,       2001
   291,      3814,         776,       2001
   292,      4097,         760,       2002
   293,      3987,         802,       2501
   294,      3969,         802,       2002
   295,      4108,         771,       2002
   296,      4081,         807,       2501
   297,      4132,         779,       2002
   298,      3927,         797,       2502
   299,      4075,         807,       2001
   300,      4096,         792,       2001
   301,      4091,         803,       2502
   302,      4130,         805,       2001
   303,      4009,         813,       2000
   304,      4183,         798,       2502
   305,      4340,         806,       2001
   306,      4337,         813,       2001
   307,      4314,         819,       2001
   308,      4238,         817,       2502
   309,      4255,         843,       2502
   310,      4168,         836,       2502
   311,      4344,         842,       2501
   312,      4421,         848,       2502
   313,      4432,         849,       2502
   314,      4339,         852,       2001
   315,      4545,         847,       2002
   316,      4451,         858,       2001
   317,      4240,         849,       2001
   318,      4322,         876,       2501
   319,      4384,         850,       2502
   320,      4391,         854,       2502
   321,      4483,         863,       2502
   322,      4628,         863,       2502
   323,      4747,         857,       2502
   324,      4693,         871,       2502
   325,      4583,         870,       2501
   326,      4701,         899,       2501
   327,      4406,         898,       2001
   328,      4819,         882,       2501
   329,      4407,         897,       2502
   330,      4472,         890,       2502
   331,      4561,         900,       2501
   332,      4761,         889,       3002
   333,      4652,         895,       2503
   334,      4506,         884,       2501
   335,      4627,         892,       2501
   336,      4627,         909,       2502
   337,      4981,         904,       2501
   338,      4843,         922,       2502
   339,      4842,         908,       2502
   340,      4768,         920,       2502
   341,      4636,         926,       3002
   342,      4845,         936,       2502
   343,      4710,         955,       2501
   344,      4671,         946,       2501
   345,      4773,         941,       2502
   346,      4887,         936,       3002
   347,      4883,         963,       2501
   348,      5010,         949,       3002
   349,      4890,         954,       2502
