    n, bubble_cmp, bubble_swaps, bubble_time
  140,       9591,           56,        4503
  141,       9730,           56,        4003
  142,       9870,           56,        4503
  143,      10011,           56,        4503
  144,      10153,           56,        4504
  145,      10296,           56,        4503
  146,      10440,           58,        4504
  147,      10585,           61,        5004
  148,      10731,           61,        4503
  149,      10878,           61,        5004
  150,      11026,           61,        5003
  151,      11175,           61,        5005
  152,      11325,           61,        5003
  153,      11476,           61,        5004
  154,      11628,           61,        5003
  155,      11781,           62,        5004
  156,      11935,           62,        5504
  157,      12090,           62,        5504
  158,      12246,           62,        5004
  159,      12403,           62,        5504
  160,      12561,           63,        5504
  161,      12720,           63,        5504
  162,      12880,           66,        5504
  163,      13041,           69,        6005
  164,      13203,           69,        5505
  165,      13366,           69,        6004
  166,      13530,           69,        6005
  167,      13695,           69,        6005
  168,      13861,           69,        6004
  169,      14028,           71,        6004
  170,      14196,           71,        6505
  171,      14365,           71,        6005
  172,      14535,           71,        6505
  173,      14706,           71,        6505
  174,      14878,           71,        6505
  175,      15051,           71,        6505
  176,      15225,           72,        6505
  177,      15400,           74,        7005
  178,      15576,           75,        7006
  179,      15753,           75,        7004
  180,      15931,           75,        7006
  181,      16110,           76,        7005
  182,      16290,           78,        7006
  183,      16471,           80,        7506
  184,      16653,           81,        7005
  185,      16836,           81,        7006
  186,      17020,           81,        7505
  187,      17205,           81,        7506
  188,      17391,           82,        7506
  189,      17578,           83,        7506
  190,      17766,           85,        8006
  191,      17955,           87,        8006
  192,      18145,           87,        8007
  193,      18336,           87,        8006
  194,      18528,           87,        8507
  195,      18721,           87,        8507
  196,      18915,           87,        8508
  197,      19110,           87,        8508
  198,      19306,           87,        8506
  199,      19503,           87,        9007
  200,      19701,           87,        8507
