   n, quick_cmp, quick_swaps, quick_time
 143,      4201,         252,       2001
 144,      4254,         253,       2001
 145,      4311,         255,       2002
 146,      4370,         257,       2001
 147,      4424,         258,       2001
 148,      4482,         260,       2002
 149,      4540,         262,       1501
 150,      4600,         264,       2001
 151,      4656,         265,       2001
 152,      4790,         267,       2002
 153,      4848,         269,       2001
 154,      4986,         273,       2002
 155,      5047,         275,       2501
 156,      5029,         274,       2001
 157,      5092,         276,       2502
 158,      5077,         278,       2002
 159,      5141,         280,       2001
 160,      5201,         281,       2502
 161,      5264,         283,       2501
 162,      5491,         287,       2502
 163,      5551,         288,       2501
 164,      5551,         289,       2502
 165,      5554,         289,       2502
 166,      5667,         293,       2502
 167,      5730,         294,       2502
 168,      5572,         292,       2502
 169,      5881,         296,       2501
 170,      5931,         299,       3002
 171,      5998,         301,       2501
 172,      5978,         303,       3002
 173,      6047,         305,       2502
 174,      6115,         307,       3002
 175,      6184,         309,       2501
 176,      6249,         310,       3003
 177,      6317,         312,       3002
 178,      6477,         316,       3002
 179,      6542,         317,       3002
 180,      6633,         318,       3001
 181,      6704,         320,       3002
 182,      6660,         320,       3003
 183,      6731,         322,       3002
 184,      6803,         324,       3002
 185,      6872,         325,       3003
 186,      7038,         327,       3502
 187,      7107,         328,       3002
 188,      7088,         330,       3003
 189,      7160,         332,       3002
 190,      7137,         332,       3002
 191,      7209,         334,       3503
 192,      7377,         338,       3502
 193,      7448,         339,       3002
 194,      7282,         338,       3503
 195,      7625,         342,       3503
 196,      7475,         342,       3502
 197,      7547,         344,       3002
 198,      7620,         346,       3503
 199,      7693,         348,       3503
 200,      7767,         350,       3502
 201,      7841,         352,       3503
 202,      7917,         354,       3503
 203,      7988,         355,       3503
 204,      8063,         357,       3503
 205,      8138,         359,       3502
 206,      8215,         361,       3504
 207,      8287,         362,       4002
 208,      8365,         364,       3503
 209,      8440,         366,       3503
 210,      8621,         368,       3503
 211,      8697,         370,       4003
 212,      8975,         373,       4003
 213,      9055,         375,       4003
 214,      9027,         377,       4003
 215,      9108,         379,       4503
 216,      9085,         378,       4003
 217,      9168,         380,       4003
 218,      9465,         384,       4003
 219,      9546,         385,       4503
 220,      9521,         387,       4003
 221,      9605,         389,       4503
 222,      9803,         391,       4003
 223,      9883,         392,       4003
 224,     10190,         396,       4503
 225,     10279,         398,       5004
 226,     10363,         399,       4503
 227,     10451,         401,       4504
 228,     10316,         400,       4503
 229,     10406,         402,       4503
 230,     10383,         404,       4503
 231,     10473,         406,       4503
 232,     10678,         409,       4504
 233,     10760,         409,       4503
 234,     10731,         409,       4503
 235,     10820,         411,       5004
 236,     10912,         412,       4504
 237,     11004,         414,       4503
 238,     10979,         416,       5005
 239,     11067,         417,       5002
 240,     11159,         419,       5004
 241,     11252,         421,       5004
 242,     11344,         423,       5004
 243,     11432,         424,       5004
 244,     11523,         426,       5004
 245,     11615,         428,       5004
 246,     11711,         430,       5505
 247,     11801,         431,       5004
 248,     11894,         433,       5504
 249,     11985,         435,       5004
 250,     12077,         437,       5504
 251,     12170,         439,       5004
 252,     12384,         442,       5504
 253,     12476,         444,       5505
 254,     12444,         444,       5504
 255,     12534,         445,       5505
 256,     12629,         446,       5504
 257,     12723,         448,       5504
 258,     12690,         450,       5504
 259,     12780,         451,       5505
 260,     12874,         453,       5504
 261,     12968,         455,       5504
 262,     13195,         459,       6005
 263,     13290,         461,       5504
 264,     13423,         462,       5505
 265,     13521,         464,       6004
 266,     13448,         464,       6005
 267,     13544,         466,       6005
 268,     13644,         468,       5504
 269,     13743,         470,       5504
 270,     13842,         472,       6005
