    n, heap_cmp, heap_swaps, heap_time
 1167,    20162,      10870,     13011
 1168,    20217,      10896,     13010
 1169,    20220,      10895,     12510
 1170,    20239,      10914,     13011
 1171,    20240,      10890,     13011
 1172,    20274,      10930,     13010
 1173,    20325,      10950,     13011
 1174,    20341,      10973,     13011
 1175,    20377,      10993,     13010
 1176,    20371,      10987,     13010
 1177,    20370,      10985,     13011
 1178,    20413,      10997,     12510
 1179,    20431,      10991,     13011
 1180,    20490,      11023,     13010
 1181,    20455,      11010,     13010
 1182,    20503,      11043,     13010
 1183,    20523,      11059,     13011
 1184,    20537,      11067,     13010
 1185,    20584,      11084,     13011
 1186,    20564,      11069,     13011
 1187,    20544,      11035,     13011
 1188,    20575,      11056,     13010
 1189,    20659,      11117,     13010
 1190,    20684,      11142,     13011
 1191,    20669,      11128,     13511
 1192,    20647,      11128,     13010
 1193,    20709,      11147,     13010
 1194,    20710,      11142,     13012
 1195,    20731,      11155,     13511
 1196,    20756,      11149,     13010
 1197,    20791,      11184,     13512
 1198,    20795,      11198,     13010
 1199,    20797,      11202,     13010
 1200,    20901,      11234,     13511
 1201,    20867,      11251,     13511
 1202,    20891,      11251,     13511
 1203,    20915,      11253,     16514
 1204,    20926,      11259,     13011
 1205,    21001,      11295,     13511
 1206,    20998,      11305,     13511
 1207,    20995,      11279,     13510
 1208,    21015,      11294,     13511
 1209,    21051,      11322,     13511
 1210,    21058,      11336,     13513
 1211,    21116,      11349,     13511
 1212,    21087,      11340,     13511
 1213,    21127,      11350,     13511
 1214,    21150,      11384,     14012
 1215,    21173,      11395,     13512
 1216,    21185,      11397,     13513
 1217,    21182,      11406,     13510
 1218,    21239,      11421,     13511
 1219,    21250,      11434,     14011
 1220,    21250,      11458,     13511
 1221,    21299,      11467,     14012
 1222,    21324,      11482,     13511
 1223,    21314,      11453,     14011
 1224,    21338,      11479,     14011
 1225,    21358,      11494,     14011
 1226,    21346,      11484,     13511
 1227,    21451,      11541,     14010
 1228,    21452,      11544,     13512
 1229,    21454,      11533,     14011
 1230,    21474,      11564,     14012
 1231,    21543,      11605,     14012
 1232,    21529,      11587,     14010
 1233,    21567,      11620,     13512
 1234,    21577,      11611,     14011
 1235,    21601,      11615,     14012
 1236,    21624,      11631,     14011
 1237,    21631,      11639,     14513
 1238,    21682,      11684,     14011
 1239,    21667,      11658,     14012
 1240,    21705,      11676,     14012
 1241,    21710,      11664,     14011
 1242,    21749,      11693,     13511
 1243,    21773,      11722,     14011
 1244,    21776,      11731,     14012
 1245,    21796,      11713,     14011
 1246,    21849,      11759,     14011
