   n, bubble_cmp, bubble_swaps, bubble_time
 134,       8778,         4707,        6505
 135,       8911,         4731,        6505
 136,       9045,         4811,        6506
 137,       9180,         4902,        6505
 138,       9316,         5020,        7005
 139,       9453,         5095,        6505
 140,       9591,         5107,        7005
 141,       9730,         5134,        7005
 142,       9870,         5215,        7005
 143,      10011,         5230,        7506
 144,      10153,         5354,        7005
 145,      10296,         5463,        7506
 146,      10440,         5516,        7507
 147,      10585,         5616,        7505
 148,      10731,         5739,        8006
 149,      10878,         5810,        7507
 150,      11026,         5905,        7506
 151,      11175,         6042,        8508
 152,      11325,         6115,        8005
 153,      11476,         6135,        8507
 154,      11628,         6256,        8007
 155,      11781,         6264,        9007
 156,      11935,         6343,        8507
 157,      12090,         6467,        9006
 158,      12246,         6504,        8507
 159,      12403,         6507,        9007
 160,      12561,         6624,        9007
 161,      12720,         6657,        9007
 162,      12880,         6746,        9007
 163,      13041,         6865,        9507
 164,      13203,         6931,        9508
 165,      13366,         6972,       10008
 166,      13530,         6985,        9508
 167,      13695,         6993,        9507
 168,      13861,         7084,       10008
 169,      14028,         7187,       10008
 170,      14196,         7309,       10008
 171,      14365,         7432,       10508
 172,      14535,         7545,       10008
 173,      14706,         7716,       10509
 174,      14878,         7823,       10509
 175,      15051,         7843,       11009
 176,      15225,         7928,       10508
 177,      15400,         8084,       11009
 178,      15576,         8174,       11009
 179,      15753,         8262,       11009
 180,      15931,         8434,       11509
 181,      16110,         8506,       11510
 182,      16290,         8633,       11509
 183,      16471,         8777,       12010
 184,      16653,         8922,       11510
 185,      16836,         8958,       12009
 186,      17020,         8988,       12010
 187,      17205,         9116,       12010
 188,      17391,         9292,       12009
 189,      17578,         9424,       12511
 190,      17766,         9551,       13010
 191,      17955,         9600,       12510
 192,      18145,         9629,       13011
 193,      18336,         9683,       13011
 194,      18528,         9724,       13010
 195,      18721,         9882,       13511
 196,      18915,         9917,       13512
 197,      19110,        10020,       13510
 198,      19306,        10080,       14012
