    n, insertion_cmp, insertion_swaps, insertion_time
  135,          5260,            5134,           5503
  136,          5282,            5155,           5004
  137,          5331,            5203,           5504
  138,          5419,            5290,           5004
  139,          5421,            5291,           5004
  140,          5493,            5362,           5505
  141,          5576,            5444,           5504
  142,          5714,            5581,           6004
  143,          5848,            5714,           5505
  144,          5895,            5760,           6005
  145,          5993,            5857,           6005
  146,          6126,            5989,           6005
  147,          6234,            6096,           6005
  148,          6305,            6166,           6005
  149,          6426,            6286,           6505
  150,          6456,            6315,           6505
  151,          6597,            6455,           6505
  152,          6637,            6494,           6505
  153,          6753,            6609,           6506
  154,          6786,            6641,           7005
  155,          6831,            6685,           6505
  156,          6932,            6785,           7006
  157,          6942,            6794,           7006
  158,          7034,            6885,           6505
  159,          7080,            6930,           6505
  160,          7164,            7013,           7006
  161,          7184,            7032,           7005
  162,          7212,            7059,           7005
  163,          7370,            7216,           7005
  164,          7450,            7295,           7506
  165,          7518,            7362,           7506
  166,          7531,            7374,           7505
  167,          7665,            7507,           7506
  168,          7706,            7547,           7506
  169,          7869,            7709,           7506
  170,          8020,            7859,           7506
  171,          8059,            7897,           7506
  172,          8230,            8067,           8007
  173,          8277,            8113,           8007
  174,          8284,            8119,           8007
  175,          8424,            8258,           8506
  176,          8540,            8373,           8508
  177,          8671,            8503,           8506
  178,          8716,            8547,           9008
  179,          8880,            8710,           9006
  180,          8931,            8760,           9008
  181,          9031,            8859,           8506
  182,          9080,            8907,           9007
  183,          9160,            8986,           9007
  184,          9288,            9113,           9007
  185,          9450,            9274,           9508
  186,          9606,            9429,           9507
  187,          9741,            9563,           9508
  188,          9829,            9650,           9507
  189,          9859,            9679,          10008
  190,         10010,            9829,          10008
  191,         10168,            9986,          10008
  192,         10315,           10132,          10510
  193,         10352,           10168,          10507
  194,         10534,           10349,          10509
  195,         10612,           10426,          10008
  196,         10798,           10611,          11009
  197,         10805,           10617,          10509
  198,         10912,           10723,          11008
  199,         11104,           10914,          11009
  200,         11188,           10997,          12511
  201,         11295,           11103,          11008
  202,         11493,           11300,          11510
  203,         11670,           11476,          11509
  204,         11773,           11578,          11510
  205,         11853,           11657,          12010
  206,         12038,           11841,          12510
  207,         12240,           12042,          12510
  208,         12431,           12232,          12009
  209,         12616,           12416,          12510
  210,         12629,           12428,          12510
  211,         12811,           12609,          13011
  212,         12986,           12783,          13010
  213,         13085,           12881,          13010
  214,         13298,           13094,          13011
  215,         13479,           13274,          13511
  216,         13501,           13295,          13512
  217,         13520,           13313,          13010
  218,         13658,           13450,          13511
  219,         13828,           13619,          13511
  220,         13979,           13769,          13511
  221,         13996,           13785,          14012
  222,         14186,           13974,          15013
  223,         14331,           14118,          14010
  224,         14450,           14236,          14513
  225,         14556,           14341,          16514
  226,         14579,           14363,          15012
  227,         14687,           14470,          15012
  228,         14875,           14657,          15012
  229,         15096,           14877,          15012
  230,         15106,           14886,          15013
  231,         15206,           14985,          15013
  232,         15281,           15059,          15011
  233,         15335,           15112,          15013
  234,         15443,           15219,          15512
  235,         15531,           15306,          15513
  236,         15572,           15346,          16013
  237,         15760,           15533,          16014
  238,         15811,           15583,          15513
  239,         16049,           15821,          16014
  240,         16220,           15991,          16013
  241,         16440,           16210,          16014
  242,         16528,           16297,          16013
  243,         16615,           16383,          16514
  244,         16725,           16492,          16513
  245,         16808,           16574,          17014
  246,         16825,           16590,          16514
  247,         16831,           16595,          16514
  248,         16947,           16710,          17015
  249,         17130,           16892,          17514
  250,         17284,           17045,          17515
  251,         17293,           17053,          17014
  252,         17484,           17243,          17514
  253,         17496,           17254,          17014
  254,         17626,           17383,          17515
  255,         17816,           17572,          17514
  256,         18030,           17785,          17516
  257,         18097,           17851,          18014
  258,         18322,           18075,          18516
  259,         18453,           18205,          18516
  260,         18483,           18234,          18515
  261,         18487,           18237,          18516
  262,         18607,           18356,          18514
  263,         18647,           18395,          18515
  264,         18697,           18444,          18516
  265,         18719,           18465,          18516
  266,         18737,           18482,          18515
  267,         18761,           18505,          18515
  268,         18941,           18684,          19015
  269,         19128,           18870,          19016
  270,         19397,           19138,          19015
  271,         19399,           19139,          19516
  272,         19434,           19173,          19016
  273,         19685,           19423,          19516
  274,         19936,           19673,          19516
  275,         20062,           19798,          20017
  276,         20275,           20010,          20017
  277,         20385,           20119,          21018
  278,         20495,           20228,          20518
  279,         20524,           20256,          20517
  280,         20792,           20523,          20517
  281,         20889,           20619,          20518
  282,         21053,           20782,          21018
  283,         21150,           20878,          21017
  284,         21307,           21034,          21017
  285,         21368,           21094,          21018
  286,         21533,           21258,          21517
  287,         21647,           21371,          21518
  288,         21729,           21452,          21518
  289,         22016,           21738,          22018
  290,         22072,           21793,          22519
  291,         22226,           21946,          22519
  292,         22474,           22193,          23019
  293,         22685,           22403,          22519
  294,         22789,           22506,          23019
  295,         23040,           22756,          22519
  296,         23089,           22804,          22519
  297,         23361,           23075,          23019
  298,         23540,           23253,          23520
  299,         23809,           23521,          23519
  300,         23995,           23706,          23519
  301,         24088,           23798,          23519
  302,         24180,           23889,          24021
  303,         24206,           23914,          24020
  304,         24402,           24109,          24020
  305,         24635,           24341,          24020
  306,         24919,           24624,          24521
  307,         25087,           24791,          24521
  308,         25171,           24874,          24521
  309,         25331,           25033,          25021
  310,         25474,           25175,          25521
  311,         25483,           25183,          25021
  312,         25706,           25405,          25521
  313,         25782,           25480,          26522
  314,         25990,           25687,          26522
  315,         26191,           25887,          26522
  316,         26254,           25949,          26022
  317,         26361,           26055,          26523
  318,         26441,           26134,          26021
  319,         26517,           26209,          26022
  320,         26797,           26488,          26523
  321,         27046,           26736,          27022
  322,         27195,           26884,          27523
  323,         27267,           26955,          27524
  324,         27282,           26969,          27023
  325,         27363,           27049,          27023
  326,         27447,           27132,          28023
  327,         27527,           27211,          28024
  328,         27838,           27521,          28024
  329,         27987,           27669,          28023
  330,         28188,           27869,          28524
  331,         28399,           28079,          28524
  332,         28564,           28243,          29024
  333,         28566,           28244,          28024
  334,         28618,           28295,          28023
  335,         28750,           28426,          28524
  336,         29070,           28745,          29024
  337,         29157,           28831,          29024
  338,         29201,           28874,          29025
