    n, quick_cmp, quick_swaps, quick_time
  552,      8502,        1616,       4503
  553,      8891,        1578,       4503
  554,      8529,        1604,       4503
  555,      9015,        1592,       5004
  556,      8649,        1616,       5004
  557,      8741,        1627,       5004
  558,      8633,        1611,       4503
  559,      8559,        1637,       4504
  560,      8509,        1598,       5003
  561,      8826,        1640,       5005
  562,      8709,        1606,       4503
  563,      8718,        1611,       4503
  564,      8629,        1630,       4503
  565,      8385,        1635,       5004
  566,      8528,        1628,       4504
  567,      8859,        1616,       4504
  568,      8633,        1634,       4503
  569,      8812,        1653,       5004
  570,      8451,        1655,       4503
  571,      8593,        1667,       4503
  572,      8786,        1656,       4502
  573,      8774,        1653,       5004
  574,      9133,        1648,       5004
  575,      9123,        1646,       4503
  576,      8750,        1691,       4503
  577,      9141,        1664,       5005
  578,      8630,        1669,       5004
  579,      8931,        1688,       5004
  580,      8989,        1708,       5003
  581,      9112,        1666,       5005
  582,      8864,        1713,       5003
  583,      8794,        1708,       4503
  584,      9014,        1711,       4503
  585,      8953,        1716,       4503
  586,      8990,        1697,       4503
  587,      9190,        1693,       5004
  588,      8922,        1746,       5004
  589,      8932,        1749,       5003
  590,      8980,        1684,       5004
  591,      9344,        1740,       5004
  592,      9074,        1741,       5003
  593,      9277,        1737,       5005
  594,      9146,        1736,       5003
  595,      9059,        1764,       5004
  596,      8999,        1742,       5004
  597,      9237,        1726,       5003
  598,      9174,        1763,       5005
  599,      9200,        1771,       5003
  600,      9382,        1728,       5003
  601,      9350,        1779,       5004
  602,      9221,        1752,       5004
  603,      9763,        1733,       5504
  604,      9731,        1727,       5005
  605,      9630,        1735,       5003
  606,      9266,        1752,       5004
  607,      9627,        1751,       5504
  608,      9223,        1753,       5004
  609,      9370,        1792,       5003
  610,      9609,        1770,       5505
  611,      9543,        1783,       5003
  612,      9439,        1786,       5003
  613,      9473,        1788,       5004
  614,      9301,        1811,       5503
  615,      9305,        1814,       5004
  616,      9491,        1816,       5004
  617,      9279,        1805,       5505
  618,      9459,        1828,       5003
  619,      9882,        1801,       5004
  620,      9622,        1836,       5004
  621,      9570,        1838,       5003
  622,      9838,        1819,       5003
  623,      9960,        1820,       5504
  624,      9883,        1815,       5505
  625,      9645,        1822,       5503
  626,      9605,        1848,       5004
  627,      9874,        1814,       5004
  628,      9699,        1822,       5003
  629,     10016,        1847,       5505
  630,      9820,        1830,       5004
  631,      9854,        1851,       5004
  632,      9950,        1860,       5003
  633,      9894,        1847,       5507
  634,      9829,        1862,       5004
  635,      9864,        1868,       5504
  636,     10051,        1860,       5504
  637,      9929,        1863,       5504
  638,      9830,        1860,       5003
  639,      9776,        1883,       5003
  640,      9940,        1892,       5003
  641,     10237,        1850,       5505
  642,     10195,        1870,       5503
  643,     10307,        1888,       5505
